Size,Time
1.0,0.015664
1.0,0.014998
1.0,0.012025
1.0,0.012976
1.0,0.012999
1.0,0.013026
1.0,0.01137
1.0,0.013068
1.0,0.013025
1.0,0.013036
1.0,0.013039
1.0,0.012053
1.0,0.01203
1.0,0.012035
1.0,0.013103
1.0,0.012126
1.0,0.011969
1.0,0.013
1.0,0.01504
1.0,0.014999
2.0,0.037077
2.0,0.036033
2.0,0.036971
2.0,0.036
2.0,0.033999
2.0,0.037999
2.0,0.035034
2.0,0.034005
2.0,0.03457
2.0,0.03613
2.0,0.034098
2.0,0.036073
2.0,0.03403
2.0,0.034031
2.0,0.032061
2.0,0.036004
2.0,0.03503
2.0,0.033026
2.0,0.036005
2.0,0.036
3.0,0.062996
3.0,0.070144
3.0,0.060073
3.0,0.078206
3.0,0.072509
3.0,0.070063
3.0,0.070855
3.0,0.071782
3.0,0.06735
3.0,0.072275
3.0,0.068725
3.0,0.072021
3.0,0.071553
3.0,0.070624
3.0,0.068886
3.0,0.070015
3.0,0.069902
3.0,0.069032
3.0,0.06709
3.0,0.070078
4.0,0.115971
4.0,0.116
4.0,0.115
4.0,0.104
4.0,0.112
4.0,0.112
4.0,0.112998
4.0,0.113902
4.0,0.1093
4.0,0.112826
4.0,0.114521
4.0,0.111578
4.0,0.108048
4.0,0.112432
4.0,0.114432
4.0,0.112096
4.0,0.114768
4.0,0.114193
4.0,0.113013
4.0,0.114074
5.0,0.169096
5.0,0.17492
5.0,0.167
5.0,0.168894
5.0,0.16376
5.0,0.170108
5.0,0.169002
5.0,0.165
5.0,0.171999
5.0,0.176458
5.0,0.176668
5.0,0.174708
5.0,0.172376
5.0,0.170537
5.0,0.167244
5.0,0.169944
5.0,0.165997
5.0,0.16296
5.0,0.168
5.0,0.169
6.0,0.229001
6.0,0.247
6.0,0.237
6.0,0.236
6.0,0.237182
6.0,0.233121
6.0,0.234762
6.0,0.231807
6.0,0.234738
6.0,0.236659
6.0,0.234953
6.0,0.237
6.0,0.222
6.0,0.24397
6.0,0.244861
6.0,0.23839
6.0,0.238503
6.0,0.234596
6.0,0.234909
6.0,0.23466
7.0,0.328
7.0,0.302027
7.0,0.317
7.0,0.314
7.0,0.302023
7.0,0.308
7.0,0.313
7.0,0.309
7.0,0.283887
7.0,0.306219
7.0,0.309999
